file_name,text
line_001.png,Every sunrise is a new chance to begin again.
line_002.png,Ang bawat umaga ay pagkakataong bumangon at magsimula muli.
line_003.png,Small steps today create big results tomorrow.
line_004.png,Ang maliliit na hakbang ngayon ay nagiging malaking tagumpay bukas.
line_005.png,Gratitude turns ordinary moments into blessings.
line_006.png,Ang pasasalamat ay nagbibigay halaga sa mga simpleng bagay.
line_007.png,Hard times reveal hidden strengths.
line_008.png,Ang pagsubok ay nagpapakita ng tunay na tibay ng loob.
line_009.png,Never underestimate the power of persistence.
line_010.png,Huwag maliitin ang kapangyarihan ng pagtitiyaga.
line_011.png,Kind words can change someone's day.
line_012.png,Ang mabuting salita ay kayang magpagaan ng damdamin.
line_013.png,Success is built one effort at a time.
line_014.png,Ang tagumpay ay bunga ng paulit-ulit na pagsisikap.
line_015.png,"Stay focused on progress, not perfection."
line_016.png,"Ituon ang pansin sa pag-unlad, hindi sa pagiging perpekto."
line_017.png,Challenges are opportunities in disguise.
line_018.png,Ang mga hamon ay mga pagkakataong nakatago lamang.
line_019.png,Your courage grows every time you try.
line_020.png,Lumalakas ang iyong loob sa bawat pagtatangka.
line_021.png,Happiness often starts with gratitude.
line_022.png,Madalas nagsisimula ang kaligayahan sa pasasalamat.
line_023.png,Keep moving even when the road is difficult.
line_024.png,Magpatuloy kahit mahirap ang daan.
line_025.png,Kindness costs nothing but means everything.
line_026.png,Walang halaga ang kabaitan ngunit napakahalaga nito.
line_027.png,Every mistake teaches a valuable lesson.
line_028.png,Ang bawat pagkakamali ay may mahalagang aral.
line_029.png,Strength is not the absence of struggle.
line_030.png,Ang lakas ay hindi kawalan ng problema.
line_031.png,Believe in your ability to overcome obstacles.
line_032.png,Maniwala sa kakayahan mong malampasan ang mga hadlang.
line_033.png,Patience helps dreams grow.
line_034.png,Ang pasensya ang tumutulong sa mga pangarap na umusbong.
line_035.png,Resilience is choosing to rise again.
line_036.png,Ang katatagan ay ang pagpiling bumangon muli.
line_037.png,A grateful heart attracts peace.
line_038.png,Ang pusong marunong magpasalamat ay nakatatagpo ng kapayapaan.
line_039.png,Growth happens outside your comfort zone.
line_040.png,Ang pag-unlad ay nangyayari sa labas ng iyong nakasanayan.
line_041.png,Humility keeps success meaningful.
line_042.png,Ang kababaang-loob ang nagbibigay saysay sa tagumpay.
line_043.png,"Every effort matters, even unseen ones."
line_044.png,Mahalaga ang bawat pagsisikap kahit hindi napapansin.
line_045.png,Hope shines brightest during dark times.
line_046.png,Ang pag-asa ay mas nagniningning sa gitna ng dilim.
line_047.png,Your journey is unique and valuable.
line_048.png,Ang iyong paglalakbay ay natatangi at mahalaga.
line_049.png,Strong roots help trees survive storms.
line_050.png,Ang matibay na pundasyon ang tumutulong sa pagharap sa unos.
line_051.png,Learn from yesterday and work for tomorrow.
line_052.png,Matuto sa kahapon at kumilos para sa bukas.
line_053.png,Kindness leaves a lasting legacy.
line_054.png,Ang kabaitan ay nag-iiwan ng magandang alaala.
line_055.png,Progress is better than standing still.
line_056.png,Mas mabuti ang pag-usad kaysa manatiling nakatigil.
line_057.png,Great achievements require consistency.
line_058.png,Ang malalaking tagumpay ay nangangailangan ng pagiging tuloy-tuloy.
line_059.png,"Be thankful for lessons, not just victories."
line_060.png,Magpasalamat hindi lamang sa tagumpay kundi pati sa mga aral.
line_061.png,Difficult roads often lead to beautiful destinations.
line_062.png,Madalas na maganda ang hantungan ng mahihirap na daan.
line_063.png,Ang taong mapagkumbaba ay patuloy na natututo.
line_064.png,A humble person continues to learn.
line_065.png,Keep faith even when answers are delayed.
line_066.png,Manatiling may pananampalataya kahit mabagal ang kasagutan.
line_067.png,Resilience is stronger than fear.
line_068.png,Mas malakas ang katatagan kaysa takot.
line_069.png,Every day offers a new lesson.
line_070.png,Bawat araw ay may bagong aral na dala.
line_071.png,Gratitude makes life richer.
line_072.png,Ang pasasalamat ay nagpapayaman sa buhay.
line_073.png,Never stop improving yourself.
line_074.png,Huwag tumigil sa pagpapabuti ng sarili.
line_075.png,Your effort today shapes your future.
line_076.png,Ang pagsisikap mo ngayon ang humuhubog sa iyong kinabukasan.
line_077.png,A positive mindset creates possibilities.
line_078.png,Ang positibong pag-iisip ay lumilikha ng mga posibilidad.
line_079.png,True strength includes compassion.
line_080.png,Kasama sa tunay na lakas ang malasakit.
